program_id,county,site_address,total_violations
1 UP Greenwood Village,Arapahoe,6864 S Clinton Ct,8
123 Pho,Douglas,11804 E Oswego St Unit C,8
125 Chinese Restaurant,Adams,10255 Washington St,9
135 Scoop,Arapahoe,3494 S Federal Blvd,15
20 Mile Tap House,Douglas,12543 N Highway 83,5
212 Pizza Co,Douglas,848 N Ridge Rd Unit F,2
3 Margaritas,Adams,14697 Delaware St Unit 800,7
3 Margaritas,Adams,3202 E 104th Ave,21
3 Margaritas,Adams,530 E Bromley Ln Unit 125,12
3 Margaritas,Arapahoe,25791 E Smoky Hill Rd Ste 100,7
30/70 Sports Bar and Grill,Adams,1885 W 120th Ave Ste 1300,15
303 Coffee Company,Arapahoe,8283 S Akron St Ste 170,7
47 Sushi and Spirits,Douglas,1525 Park Central Dr Unit 400,8
4Gs Cafe II,Arapahoe,3866 S Broadway,4
4Gs Cafe South,Arapahoe,5950 S Platte Canyon Rd Unit,23
5280 Bahn Mi and Grill,Arapahoe,15473 E Hampden Ave Unit A,0
5280 Burger Bar,Adams,4301 Main St,12
7 Corners Market,Arapahoe,4619 E Mississippi Ave,3
7 Star Food Mart,Arapahoe,4690 S Yosemite St Unit B,3
A Cake Occasion,Adams,3901 E 112th Ave Unit C,9
A Nutrition,Adams,726 W 120th Ave,3
A and A Commissary,Arapahoe,4695 S Windermere St,1
AB Petroleum 32,Adams,400 E 104th Ave,13
ACC Cafe,Arapahoe,5900 S Santa Fe Dr,6
ACCRA Kumasi African Market,Arapahoe,306 S Ironton St Unit E,6
AE Gas and Food,Adams,7490 Pecos St,2
AECOM Cafeteria,Arapahoe,6200 S Quebec St,4
AFC Sushi at Safeway 2722,Douglas,8355 N Rampart Range Rd,0
AMC Theatre Arapahoe Crossing 16 60540,Arapahoe,6696 S Parker Rd,9
AMC Theatre Castle Rock 12 61270,Douglas,3960 Limelight Ave,9
AMC Theatre Twenty Mile 10 67250,Douglas,18625 Stage Run Rd,8
AMC Theatres Brighton 12 60960,Adams,250 Pavilions Pl,7
AMC Theatres Highlands Ranch 24,Douglas,103 Centennial Blvd,5
AMF Aurora Bowling 330,Arapahoe,16700 E Mississippi Ave,2
AMF Belleview 304,Arapahoe,4900 S Federal Blvd,4
AMF Northglenn 358,Adams,310 W 104th Ave,6
AMF Sonesta Lanes 295,Adams,8800 Grant St,12
AOP Courtyard Cafe,Adams,12605 E 16th Ave,3
AS and DC Conoco,Arapahoe,16920 E Quincy Ave,4
ASA Sushi,Arapahoe,5302 DTC Blvd Unit 100,8
ATA Sushi and Sashimi,Arapahoe,2000 S Havana St,4
AXL Academy,Arapahoe,14100 E Jewell Ave,0
Abos Pizza,Douglas,2229 W Wildcat Reserve Pkwy Unit A1,9
Abos Pizza Northglenn,Adams,2145 E 120th Ave Unit F,9
Academy Charter School,Douglas,1551 Prairie Hawk Dr,0
Academy North Campus,Adams,12161 Park Center Dr,0
Academy The,Adams,11800 Lowell Blvd,3
Academy of Advance Learning,Arapahoe,441 Sable Blvd,2
Achieve Academy,Adams,9100 Poze Blvd,3
Acres,Arapahoe,3999 S Broadway,7
Acres Green Elementary,Douglas,13524 N Acres Green Dr,0
Adams City High School Bistro,Adams,7200 Quebec Pkwy,0
Adams City Middle School,Adams,4451 E 72nd Ave,3
Adams County Head Start Kitchen,Adams,11860 Pecos St,2
