county,city,program_id
Adams,Arvada,18
Adams,Aurora,95
Adams,Bennett,10
Adams,Brighton,145
Adams,Broomfield,2
Adams,Byers,1
Adams,Commerce City,134
Adams,Denver,124
Adams,Eastlake,2
Adams,Federal Heights,50
Adams,Henderson,17
Adams,Northglenn,97
Adams,Strasburg,6
Adams,Thornton,321
Adams,Watkins,4
Adams,Westminster,250
Arapahoe,Aurora,872
Arapahoe,Bennett,2
Arapahoe,Byers,2
Arapahoe,Centennial,213
Arapahoe,Cherry Hills Village,6
Arapahoe,Columbine Valley,1
Arapahoe,Deer Trail,2
Arapahoe,Denver,46
Arapahoe,Englewood,212
Arapahoe,Foxfield,5
Arapahoe,Glendale,57
Arapahoe,Greenwood Village,170
Arapahoe,Highlands Ranch,4
Arapahoe,Littleton,212
Arapahoe,Lone Tree,3
Arapahoe,Parker,5
Arapahoe,Sheridan,37
Arapahoe,Strasburg,2
Arapahoe,Watkins,2
Douglas,Castle Pines,11
Douglas,Castle Rock,210
Douglas,Deckers,1
Douglas,Englewood,28
Douglas,Franktown,6
Douglas,Highlands Ranch,177
Douglas,Larkspur,13
Douglas,Littleton,44
Douglas,Lone Tree,107
Douglas,Parker,212
Douglas,Sedalia,8
