program_id,county,site_address,foodborne_illness_violations,good_retail_practices_violations,total_violations,inspScore
1 UP Greenwood Village,Arapahoe,6864 S Clinton Ct,2,6,8,48
123 Pho,Douglas,11804 E Oswego St Unit C,4,4,8,48
125 Chinese Restaurant,Adams,10255 Washington St,3,6,9,47
135 Scoop,Arapahoe,3494 S Federal Blvd,7,8,15,41
20 Mile Tap House,Douglas,12543 N Highway 83,1,4,5,51
212 Pizza Co,Douglas,848 N Ridge Rd Unit F,2,0,2,54
3 Margaritas,Adams,14697 Delaware St Unit 800,3,4,7,49
3 Margaritas,Adams,3202 E 104th Ave,12,9,21,35
3 Margaritas,Adams,530 E Bromley Ln Unit 125,4,8,12,44
3 Margaritas,Arapahoe,25791 E Smoky Hill Rd Ste 100,2,5,7,49
30/70 Sports Bar and Grill,Adams,1885 W 120th Ave Ste 1300,11,4,15,41
303 Coffee Company,Arapahoe,8283 S Akron St Ste 170,3,4,7,49
47 Sushi and Spirits,Douglas,1525 Park Central Dr Unit 400,7,1,8,48
4Gs Cafe II,Arapahoe,3866 S Broadway,3,1,4,52
4Gs Cafe South,Arapahoe,5950 S Platte Canyon Rd Unit,10,13,23,33
5280 Bahn Mi and Grill,Arapahoe,15473 E Hampden Ave Unit A,0,0,0,56
5280 Burger Bar,Adams,4301 Main St,5,7,12,44
7 Corners Market,Arapahoe,4619 E Mississippi Ave,2,1,3,53
7 Star Food Mart,Arapahoe,4690 S Yosemite St Unit B,3,0,3,53
A Cake Occasion,Adams,3901 E 112th Ave Unit C,4,5,9,47
A Nutrition,Adams,726 W 120th Ave,0,3,3,53
A and A Commissary,Arapahoe,4695 S Windermere St,0,1,1,55
AB Petroleum 32,Adams,400 E 104th Ave,2,11,13,43
ACC Cafe,Arapahoe,5900 S Santa Fe Dr,3,3,6,50
ACCRA Kumasi African Market,Arapahoe,306 S Ironton St Unit E,2,4,6,50
AE Gas and Food,Adams,7490 Pecos St,1,1,2,54
AECOM Cafeteria,Arapahoe,6200 S Quebec St,2,2,4,52
AFC Sushi at Safeway 2722,Douglas,8355 N Rampart Range Rd,0,0,0,56
AMC Theatre Arapahoe Crossing 16 60540,Arapahoe,6696 S Parker Rd,4,5,9,47
AMC Theatre Castle Rock 12 61270,Douglas,3960 Limelight Ave,3,6,9,47
AMC Theatre Twenty Mile 10 67250,Douglas,18625 Stage Run Rd,2,6,8,48
AMC Theatres Brighton 12 60960,Adams,250 Pavilions Pl,4,3,7,49
AMC Theatres Highlands Ranch 24,Douglas,103 Centennial Blvd,2,3,5,51
AMF Aurora Bowling 330,Arapahoe,16700 E Mississippi Ave,1,1,2,54
AMF Belleview 304,Arapahoe,4900 S Federal Blvd,3,1,4,52
AMF Northglenn 358,Adams,310 W 104th Ave,2,4,6,50
AMF Sonesta Lanes 295,Adams,8800 Grant St,7,5,12,44
AOP Courtyard Cafe,Adams,12605 E 16th Ave,1,2,3,53
AS and DC Conoco,Arapahoe,16920 E Quincy Ave,2,2,4,52
ASA Sushi,Arapahoe,5302 DTC Blvd Unit 100,7,1,8,48
ATA Sushi and Sashimi,Arapahoe,2000 S Havana St,3,1,4,52
AXL Academy,Arapahoe,14100 E Jewell Ave,0,0,0,56
Abos Pizza,Douglas,2229 W Wildcat Reserve Pkwy Unit A1,4,5,9,47
Abos Pizza Northglenn,Adams,2145 E 120th Ave Unit F,4,5,9,47
Academy Charter School,Douglas,1551 Prairie Hawk Dr,0,0,0,56
Academy North Campus,Adams,12161 Park Center Dr,0,0,0,56
Academy The,Adams,11800 Lowell Blvd,0,3,3,53
Academy of Advance Learning,Arapahoe,441 Sable Blvd,1,1,2,54
Achieve Academy,Adams,9100 Poze Blvd,1,2,3,53
Acres,Arapahoe,3999 S Broadway,5,2,7,49
Acres Green Elementary,Douglas,13524 N Acres Green Dr,0,0,0,56
Adams City High School Bistro,Adams,7200 Quebec Pkwy,0,0,0,56
Adams City Middle School,Adams,4451 E 72nd Ave,1,2,3,53
Adams County Head Start Kitchen,Adams,11860 Pecos St,0,2,2,54
Adams County Parks Department,Adams,9755 Henderson Rd,2,3,5,51
Adams County Sheriff Detention Facility,Adams,150 N 19th Ave,1,5,6,50
Addes Catering Kitchen,Arapahoe,1670 Jasper St Unit H,0,2,2,54
Addis Ababa,Arapahoe,2222 S Havana St Unit B,4,6,10,46
Adelitas Kitchen,Adams,4975 W 80th Ave Unit C,1,0,1,55
Adrianas Restaurant,Douglas,7272 E Highway 86,6,6,12,44
Afghan Kabob,Adams,1975 W 120th Ave Unit 600,6,5,11,45
African International Market,Arapahoe,18801 E Hampden Ave Unit 170,6,3,9,47
Africanes Market,Arapahoe,10004 E Colfax Ave,4,4,8,48
Agfinity Inc,Adams,55 W Bromley Ln,2,6,8,48
Air Culinare Worldwide,Arapahoe,6860 S Clinton Ct Unit 1,7,10,17,39
Ajuua,Arapahoe,14150 E Iliff Ave,7,3,10,46
Aki Asian Hot Pot,Arapahoe,12303 E Mississippi Ave,5,4,9,47
Aki Japanese Cuisine,Arapahoe,3484 S Broadway,8,3,11,45
Alamo Drafthouse Cinema,Arapahoe,7301 S Santa Fe Dr Unit 850,2,1,3,53
Albasha Grill,Arapahoe,2260 S Quebec St Unit 7,4,4,8,48
Alexs Deli,Arapahoe,6560 Greenwood Plaza Blvd Unit 170,3,1,4,52
Alibis Bar and Grill,Arapahoe,7983 S Broadway,5,6,11,45
Alice Terry Elementary,Arapahoe,4485 S Irving St,0,1,1,55
All Health Network Bridge-ATM,Arapahoe,6507 S Santa Fe Dr,2,0,2,54
All Health Network Ctr Point,Arapahoe,2200 W Berry Ave,0,0,0,56
All Souls Catholic School,Arapahoe,4950 S Logan St,3,2,5,51
All Vegan all the Time,Arapahoe,15821 E Centretech Cir,1,0,1,55
Allegro Coffee Company,Adams,12799 Claude Ct,1,1,2,54
Alley The,Arapahoe,2420 W Main St Ste 110,0,0,0,56
Almustafa Market,Arapahoe,2159 S Parker Rd,3,6,9,47
Aloft Denver International Airport,Adams,16470 E 40th Cir,10,5,15,41
Alpine Adult Daycare,Arapahoe,1985 S Havana St,3,2,5,51
Alsup Elementary,Adams,7101 Birch St,0,0,0,56
Alta Convenience,Adams,1351 E Bridge St,2,3,5,51
Alta Convenience,Adams,2301 E 88th Ave,1,1,2,54
Alta Convenience,Adams,2387 W 72nd Ave,0,1,1,55
Alta Convenience,Adams,9190 Huron St,1,1,2,54
Alta Convenience,Douglas,800 S Wilcox St,3,6,9,47
Alta Convenience 1340,Arapahoe,15201 E Hampden Ave,3,1,4,52
Alta Convenience 6017,Arapahoe,7450 S Colorado Blvd,2,0,2,54
Alta convenience,Douglas,11515 N Highway 83,2,1,3,53
Altura Elementary,Adams,1650 Altura Blvd,1,0,1,55
Alumia Institute,Arapahoe,9800 E Geddes Ave Ste 50,1,2,3,53
Amaravati Indian Cuisine,Douglas,9234 Park Meadows Dr,10,10,20,36
AmazonFresh - UC01,Adams,480 E 55th Ave,0,1,1,55
American Academy Castle Pines,Douglas,6971 Mira Vista Ln,0,0,0,56
American Academy Lincoln Meadows,Douglas,10260 Twenty Mile Rd,0,0,0,56
American Academy PKR - Nutrition Services,Douglas,11155 Motsenbocker Rd,1,3,4,52
American Convenience Store,Adams,285 E 88th Ave,1,3,4,52
American Convenience Store 2,Adams,11340 Huron St,1,1,2,54
American Family Cafe,Douglas,9510 S Meridian Blvd,0,4,4,52
Amigos Mexican Food,Arapahoe,6831 S Dayton St,3,4,7,49
Ananda Bazaar,Arapahoe,3102 S Parker Rd Unit A6,4,3,7,49
Anas Mexican Grill,Adams,2821 W 120th Ave Unit 100,2,3,5,51
Anayas Bakery and Suplay,Adams,1550 Sable Blvd,8,9,17,39
Andys Frozen Custard,Arapahoe,3505 River Point Pkwy,3,3,6,50
Andys Frozen Custard,Arapahoe,6985 S Broadway,3,0,3,53
Angelos Tavern & Carboy Winery,Arapahoe,6885 S Santa Fe Dr,4,5,9,47
Angies Restaurant,Douglas,201 4th St,7,6,13,43
Angry Chicken,Arapahoe,1930 S Havana St Unit 13,3,3,6,50
Antelope Ridge Elementary,Arapahoe,5455 S Tempe St,0,2,2,54
Antepian Turkish Cuisine,Arapahoe,2767 S Parker Rd,5,2,7,49
Anthonys II,Adams,3901 E 112th Ave Unit RS,3,1,4,52
Anthonys Pizza and Pasta,Arapahoe,17150 E Iliff Ave Unit A2,0,0,0,56
Anthonys Pizza and Pasta,Arapahoe,20269 E Smoky Hill Rd,6,5,11,45
Anthonys Pizza and Pasta,Arapahoe,2610 W Belleview Ave Ste 100,1,4,5,51
Anthonys Pizza and Pasta,Arapahoe,6860 S Clinton Ct Unit A,5,7,12,44
Anthonys Pizza and Pasta,Douglas,3506 Town Center Dr Unit E,1,4,5,51
Anthonys Pizza and Pasta,Douglas,880 W Happy Canyon Rd Ste 105,10,7,17,39
Anthonys Pizza and Pasta,Douglas,9234 Park Meadows Dr Ste 300,2,3,5,51
Anthonys Pizza and Pasta 16,Douglas,17001 Lincoln Ave Unit F,2,5,7,49
Antojitos Hondurenos,Adams,11703 E Colfax Ave,5,5,10,46
Antonios Pizza Pasta Wings,Douglas,12947 S Parker Rd,7,4,11,45
Apple Junction Barbecue Catering,Adams,14694 Orchard Pkwy Unit 700,2,0,2,54
Apple Spice,Arapahoe,7346 S Alton Way Unit 10G,4,2,6,50
Applebees Neighborhood Grill and Bar,Adams,100 W 104th Ave,3,6,9,47
Applebees Neighborhood Grill and Bar,Arapahoe,14091 E Iliff Ave,1,1,2,54
Applebees Neighborhood Grill and Bar,Arapahoe,16485 E 40th Cir,5,12,17,39
Applebees Neighborhood Grill and Bar,Arapahoe,8292 S University Blvd,0,3,3,53
Applebees Neighborhood Grill and Bar,Douglas,390 W Allen St,1,3,4,52
Applebees Neighborhood Grill and Bar 28,Adams,297 E 120th Ave,3,6,9,47
Applebees Neighborhood Grill and Bar 39,Adams,922 S 4th Ave,2,6,8,48
Applebees Restaurant,Arapahoe,10501 E Garden Dr,3,1,4,52
Aramark Arrow Campus,Arapahoe,9151 E Panorama Cir,3,5,8,48
Aramark Correctional Services Inc 3175,Adams,1450 E 62nd Ave,2,1,3,53
Aramark Sports and Entertainment Dicks Sport Good,Adams,6000 Victory Way,1,5,6,50
Aramark at Tele -Tech,Douglas,9197 S Peoria St,5,10,15,41
Aramark at Time To Change,Adams,4901 Krameria St,2,2,4,52
Arapahoe Bowling Center,Arapahoe,6850 S Dayton St,4,9,13,43
Arapahoe Cafe,Arapahoe,7325 S Potomac St,1,2,3,53
Arapahoe County Residential Center,Arapahoe,2135 W Chenango Ave,0,1,1,55
Arapahoe High School,Arapahoe,2201 E Dry Creek Rd,0,0,0,56
Arapahoe Justice Center Aramark,Arapahoe,7375 S Potomac St,1,5,6,50
Arapahoe Library District Cafe,Arapahoe,5955 S Holly St,3,1,4,52
Arapahoe Park,Arapahoe,26000 E Quincy Ave,5,7,12,44
Arapahoe Ridge Elementary,Adams,13095 Pecos St,0,0,0,56
Arash Groceries and Deli Inc,Arapahoe,2720 S Parker Rd,5,2,7,49
Arbys - 5010025,Douglas,7455 Park Meadows Dr,3,3,6,50
Arbys - 5010039,Douglas,12245 Lioness Way,0,2,2,54
Arbys 5009013,Adams,15190 Brighton Rd,1,0,1,55
Arbys 5009015,Adams,2133 Prairie Center Pkwy,1,3,4,52
Arbys 5009016,Adams,3903 E 120th Ave,1,2,3,53
Arbys 5009019,Adams,501 E 84th Ave,1,2,3,53
Arbys 5009022,Adams,200 E 144th Ave,3,6,9,47
Arbys 5009023,Adams,850 W 104th Ave,1,1,2,54
Arbys 5009028,Adams,5995 Dexter St,1,0,1,55
Arbys 5009029,Adams,5130 W 92nd Ave,2,3,5,51
Arbys 5009038,Adams,7055 N Federal Blvd,1,2,3,53
